"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Wed Sep 18 22:34:23 BDT 2024","Wed Sep 18 22:34:23 BDT 2024","6","Default Suite","WebAutomationOnRokomari","testcases.AssertionOfBookPurchasSteps","testcases.AssertionOfBookPurchasSteps","openabrowser","openabrowser",""
"passed","Thu Sep 19 19:58:52 BDT 2024","Thu Sep 19 19:59:28 BDT 2024","36270","Default Suite","WebAutomationOnRokomari","testcases.AssertionOfBookPurchasSteps","testcases.AssertionOfBookPurchasSteps","assertionOfBookPurchasSteps","assertionOfBookPurchasSteps",""
